0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-4.40625,-4.4375,-2.921875,-4.90625,-5.0,-4.375,-5.0,-2.734375,-2.046875,-5.21875,-4.3125,-3.671875,-5.0,-5.1875,-5.6875,-5.5,-3.625,-4.53125,-4.09375,-2.421875,-2.609375,-4.625,-3.609375,-2.265625,-5.09375,-4.15625,-4.875,-4.09375,-4.8125,-2.515625,0.0634765625,0.96484375
-4.6875,-4.125,-4.71875,-4.3125,-3.59375,-5.0,-4.25,-2.953125,-4.25,-4.5625,-4.0625,-5.34375,-4.3125,-4.875,-5.8125,-5.21875,-5.40625,-5.59375,-4.53125,-3.890625,-3.5,-3.046875,-5.125,-5.3125,-4.25,-3.734375,-3.0625,-4.6875,-4.03125,-4.21875,-1.4375,-0.734375
-4.84375,-4.5,-4.96875,-5.3125,-4.46875,-2.4375,-3.515625,-4.78125,-4.1875,-5.03125,-5.90625,-2.34375,-4.34375,-2.53125,-4.0625,-5.09375,-5.3125,-3.3125,-5.40625,-3.671875,-2.703125,-2.828125,-3.78125,-4.71875,-3.78125,-2.0625,-4.96875,-3.03125,-2.59375,-2.6875,-1.4453125,-3.625
-4.78125,-5.75,-3.5625,-5.53125,-3.59375,-5.375,-4.0,-5.21875,-4.40625,-4.0625,-4.8125,-4.59375,-2.84375,-5.0,-2.390625,-4.875,-4.71875,-5.0625,-2.71875,-4.625,-2.890625,-3.703125,-3.546875,-4.71875,-4.625,-2.171875,-4.6875,-3.671875,-3.0625,-2.25,-2.28125,-3.546875
-3.046875,-5.375,-3.9375,-4.5625,-4.46875,-4.0625,-3.5,-1.8515625,-3.0,-3.71875,-5.3125,-3.1875,-4.28125,-4.90625,-3.921875,-4.25,-5.0625,-2.390625,-5.40625,-5.25,-5.0625,-3.328125,-3.3125,-5.09375,-1.2421875,-4.84375,-4.71875,-3.078125,-3.46875,-5.03125,-3.0,0.13671875
-4.8125,-4.78125,-3.953125,-4.65625,-4.53125,-1.5078125,-3.34375,-4.21875,-5.21875,-4.53125,-3.1875,-3.71875,-5.21875,-2.828125,-5.0625,-5.15625,-5.4375,-5.3125,-4.625,-2.375,-2.984375,-2.6875,-2.328125,-4.875,-4.3125,-0.2353515625,-4.8125,-2.234375,-2.9375,-4.34375,-0.10693359375,-6.0
-4.28125,-8.6875,-4.5,-3.546875,-3.921875,-1.703125,-3.8125,-1.40625,-2.6875,-5.25,-4.4375,-6.59375,-5.75,-3.375,-5.78125,-4.09375,-2.609375,-5.75,-4.1875,-4.0625,-4.34375,-5.28125,-5.34375,-2.03125,-2.71875,-3.34375,-2.484375,-2.5,-4.625,-0.859375,-2.34375,-3.25
-10.5,-6.03125,-4.0,-2.953125,-4.03125,-4.4375,-2.84375,-2.8125,-5.6875,-4.09375,-5.875,-4.4375,-5.375,-4.875,-3.234375,-4.34375,-3.625,-5.34375,-3.796875,-5.3125,-3.0625,-3.3125,-3.234375,-5.0,-4.8125,-4.71875,-4.65625,-2.59375,-4.53125,-1.1640625,-0.62109375,-0.294921875
-3.71875,-5.84375,-2.890625,-3.09375,-4.125,-2.9375,-3.96875,-5.28125,-3.671875,-3.71875,-4.3125,-5.71875,-5.28125,-2.5,-3.625,-4.8125,-3.90625,-3.25,-4.25,-3.484375,-4.40625,-4.71875,-2.15625,-4.75,-4.9375,-4.9375,-1.6484375,-2.515625,-4.96875,-1.8203125,-1.0234375,-0.318359375
-3.109375,-5.15625,-4.8125,-3.078125,-4.59375,-2.90625,-2.921875,-4.59375,-3.703125,-5.8125,-5.0625,-3.4375,-5.8125,-4.5625,-5.40625,-4.71875,-4.71875,-3.765625,-4.375,-3.296875,-4.375,-3.421875,-3.78125,-4.59375,-4.25,-4.875,-1.375,-2.8125,-1.890625,-2.453125,0.8828125,-2.453125
